Sl. No.,District Code,District Name,District Name (Tamil),Block Code,Block Name,Block Name (Tamil),Village Panchayat Code,Village Panchayat Name,Village Panchayat Name (Tamil)
1,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,Angambakkam,அங்கம்பாக்கம்
2,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,Ariyaperumpak,ஆரியபெரும்பாக்கம்
3,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,Arpaakkam,ஆற்பாக்கம்
4,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,Asoor,ஆசூர்
5,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",5,Avalur,அவளூர்
6,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",6,Ayyangarkulam,அய்யங்கார்குளம்
7,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",7,Damal,தாமல்
8,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",8,Elayanarvelur,இளையனார்வேலூர்
9,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",9,Kalakattoor,களக்காட்டூர்
10,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",10,Kalur,காலூர்
11,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",11,Kambarajapuram,கம்பராஜபுரம்
12,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",12,Karuppadithattadai,கருப்படிதட்டடை
13,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",13,Kavanthandalam,காவாந்தண்டலம்
14,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",14,Keelambi,கீழம்பி
15,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",15,Kilar,கிளார்
16,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",16,Keelkadirpur,கீழ்கதிர்பூர்
17,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",17,Keelperamanallur,கீழ்பேரமநல்லூர்
18,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",18,Kolivakkam,கோளிவாக்கம்
19,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",19,Konerikuppam,கோனேரிக்குப்பம்
20,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",20,Kooram,கூரம்
21,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",21,Magaral,மாகரல்
22,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",22,Melkadirpur,மேல்கதிர்பூர்
23,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",23,Melottivakkam,மேல்லொட்டிவாக்கம்
24,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",24,Musaravakkam,முசரவாக்கம்
25,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",25,Muthavedu,முத்தவேடு
26,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",26,Muttavakkam,முட்டவாக்கம்
27,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",27,Narapakkam,நரப்பாக்கம்
28,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",29,Olakkolpattu,உழகோல்பட்டு
29,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",31,Perumbakkam,பெரும்பாக்கம்
30,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",32,Punjarasanthangal,புஞ்சரசந்தாங்கல்
31,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",33,Putheri,புத்தேரி
32,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",34,Sirukaveripakkam,சிறுகாவேரிபாக்கம்
33,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",35,Sirunaiperugal,சிறுணை பெருகல்
34,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",36,Thammanur,தம்மனூர்
35,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",38,Thimmasamudram,திம்ம சமுத்திரம்
36,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",39,Thiruparuthikundram,திருப்பருத்திக்குன்றம்
37,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",40,Thiruppukuzhi,திருப்புட்குழி
38,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",41,Valathottam,வளத்தோட்டம்
39,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",42,Vippedu,விப்பேடு
40,1,KANCHEEPURAM,"காஞ்சிபுரம்
",1,KANCHEEPURAM,"காஞ்சிபுரம்
",43,Vishar,விஷார்
41,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",1,Agaram,அகரம்
42,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",2,Alapakkam,ஆலப்பாக்கம்
43,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",3,Ariyambakkam,ஆரியம்பாக்கம்
44,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",4,Athivakkam,அத்திவாக்கம்
45,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",5,Attuputhur,ஆட்டுபுத்தூர்
46,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",6,Aymicheri,அயிமிச்சேரி
47,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",7,Ayyampettai,அய்யம்பேட்டை
48,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",8,Devariyambakkam,தேவிரியம்பாக்கம்
49,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",9,Ekanampettai,ஏகனாம்பேட்டை
50,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",10,Enadur,ஏனாத்தூர்
51,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",11,Govindavadi,கோவிந்தவாடி
52,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",12,Illuppapattu,இலுப்பப்பட்டு
53,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",13,Injambakkam,ஈஞ்சம்பாக்கம்
54,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",14,Kaliyanoor,களியனூர்
55,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",15,Karai,காரை
56,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",16,Karur,கரூர்
57,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",17,Kattavakkam,கட்டவாக்கம்
58,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",18,Keelottivakkam,கீழ்ஒட்டிவாக்கம்
59,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",19,Kithiripettai,கிதிரிப்பேட்டை
60,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",20,Kottavakkam,கொட்டவாக்கம்
61,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",21,Kunnavakkam,குண்ணவாக்கம்
62,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",22,Kuthirambakkam,கூத்திரம்பாக்கம்
63,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",23,Marutham,மருதம்
64,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",24,Muthyalpettai,முத்தியால்பேட்டை
65,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",25,Nathanallur,நத்தாநல்லூர்
66,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",26,Nayakkenpettai,நாயக்கன்பேட்டை
67,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",27,Nayakkenkuppam,நாயக்கன்குப்பம்
68,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",28,Olaiyur,ஒழையூர்
69,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",29,Paduneli,படுநெல்லி
70,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",30,Palaiyaseevaram,பழையசீவரம்
71,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",31,Paranthur,பரந்தூர்
72,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",32,Melpodavur,மேல்பொடவூர்
73,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",33,Poosivakkam,பூசிவாக்கம்
74,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",34,Pullalur,புள்ளலூர்
75,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",35,Puliyambakkam,புளியம்பாக்கம்
76,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",36,Purisai,புரிசை
77,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",37,Puthagaram,புத்தகரம்
78,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",38,Puthapakkam,புதுப்பாக்கம்
79,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",39,Singadivakkam,சிங்காடிவாக்கம்
80,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",40,Sinnivakkam,சின்னிவாக்கம்
81,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",41,Siruvakkam,சிறுவாக்கம்
82,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",42,Siruvallur,சிறுவள்ளூர்
83,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",43,144-thandalam,144 தண்டலம்
84,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",44,139-thandalam,139 தண்டலம்
85,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",45,Thangai,தாங்கி
86,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",46,Thenneri,தென்னேரி
87,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",47,Thimmarajampettai,திம்மராஜாம்பேட்டை
88,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",48,Thimmayanpettai,திம்மையன்பேட்டை
89,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",49,Thiruvangaranai,திருவங்கரணை
90,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",50,Thodur,தொடூர்
91,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",51,Thollazhi,தொள்ளாழி
92,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",52,Ullavoor,உள்ளாவூர்
93,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",53,Uthukkadu,ஊத்துக்காடு
94,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",54,Uveri,ஊவேரி
95,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",55,Vaiyavur,வையாவூர்
96,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",56,Valathur,வளத்தூர்
97,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",57,Varanavasi,வாரணவாசி
98,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",58,Vedal,வேடல்
99,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",59,Veliyur,வேளியூர்
100,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",60,Venbakkam,வேண்பாக்கம்
101,1,KANCHEEPURAM,"காஞ்சிபுரம்
",2,WALAJABAD,"வாலாஜாபாத்
",61,Villivalam,வில்லிவலம்
102,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",1,Adavapakkam,ஆதவபாக்கம்
103,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",2,Agaramduli,அகரம்தூளி
104,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",3,Alisoor,அழிசூர்
105,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",4,Ammaiyappanallur,அம்மையப்பநல்லூர்
106,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",5,Anambakkam,ஆனம்பாக்கம்
107,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",6,Annadhur,அன்னாத்தூர்
108,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",7,Arasanimangalam,அரசாணிமங்கலம்
109,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",8,Arumbuliyur,அரும்புலியூர்
110,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",9,Athiyurmelduli,அத்தியூர் மேல்தூளி
111,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",10,Chinnalambadi,சின்னாலம்பாடி
112,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",11,Sithanakkavur,சித்தனக்காவூர்
113,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",12,Edamichi,எடமிச்சி
114,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",13,Edayambudur,இடையம்புதூர்
115,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",14,Elanagar,இளநகர்
116,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",15,Hanumanthandalam,அனுமந்தண்டலம்
117,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",16,Kadalmangalam,கடல்மங்களம்
118,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",17,Kaliyaampoondi,களியாம்பூண்டி
119,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",18,Kaliyapettai,களியப்பேட்டை
120,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",19,Kammalampoondi,கம்மாளம்பூண்டி
121,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",20,Kavanurpuducheri,காவனூர்புதுச்சேரி
122,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",21,Karanai,காரனை
123,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",22,Kariamangalam,காரியமங்கலம்
124,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",23,Kattankulam,காட்டாங்குளம்
125,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",24,Karuveppampoondi,கருவேப்பம்பூண்டி
126,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",25,Kattiyampandal,கட்டியாம்பந்தல்
127,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",26,Kavampair,காவாம்பயிர்
128,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",27,Kavithandalam,காவிதண்டலம்
129,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",28,Kilakkadi,கிளக்காடி
130,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",29,Kunnavakkam,குண்ணவாக்கம்
131,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",30,Kurumanjeri,குருமஞ்சேரி
132,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",31,Madur,மதூர்
133,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",32,Malayankulam,மலையாங்குளம்
134,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",33,Manamathy,மானாம்பதி
135,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",34,Marudam,மருதம்
136,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",35,Maruthavambadi,மருத்துவம்பாடி
137,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",36,Melpakkam,மேல்பாக்கம்
138,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",37,Menallur,மேனலூர்
139,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",38,Manampathykandigai,மானாம்பதி கண்டிகை
140,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",39,Nanjeepuram,நாஞ்சிபுரம்
141,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",40,Neyyadivakkam,நெய்யாடிவாக்கம்
142,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",41,Oddanthangal,ஓட்டந்தாங்கல்
143,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",42,Ozhugarai,ஒழுகரை
144,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",43,Orakattupettai,ஒரகாட்பேட்டை
145,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",44,Ozhaiyur,ஒழையூர்
146,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",45,Paleswaram,பாலேஸ்வரம்
147,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",46,Pazhaveri,பழவேரி
148,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",47,Pennalur,பென்னலூர்
149,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",48,Perunagar,பெருநகர்
150,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",49,Perungozhi,பெருங்கோழி
151,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",50,Pinayur,பினாயூர்
152,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",51,Porpandal,பொற்பந்தல்
153,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",52,Pulivoy,புலிவாய்
154,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",53,Pulipakkam,புலிபாக்கம்
155,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",54,Puliyur,புலியூர்
156,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",55,Pullambakkam,புல்லம்பாக்கம்
157,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",56,Ravathanallur,இராவத்தநல்லூர்
158,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",57,Rettamangalam,ரெட்டமங்கலம்
159,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",58,Salavakkam,சாலவாக்கம்
160,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",59,Sathanajeri,சாத்தனஞ்சேரி
161,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",60,Silambakkam,சிலாம்பாக்கம்
162,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",61,Sirudamur,சிறுதாமூர்
163,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",62,Sirumailur,சிறுமையிலூர்
164,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",63,Sirupinayur,சிறுபினாயூர்
165,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",64,Thalavarampoondi,தளவராம்பூண்டி
166,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",65,Thandarai,தண்டரை
167,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",66,Thinayampoondi,திணையாம்பூண்டி
168,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",67,Thirumukudal,திருமுக்கூடல்
169,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",68,Thottanaval,தோட்டநாவல்
170,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",69,Thiruvanaikoil,திருவாணைக்கோயில்
171,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",70,Thirupulivanam,திருப்புலிவனம்
172,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",71,Vadathavur,வாடாதவூர்
173,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",72,Visoor,விசூர்
174,1,KANCHEEPURAM,"காஞ்சிபுரம்
",3,UTHIRAMERUR,"உத்திரமேரூர்
",73,Vayalakkavoor,வயலக்காவூர்
175,1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,SRIPERUMBUDUR,ஸ்ரீபெரும்புதூர்,1,Akkammapuram,அக்கமாபுரம்
176,1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,SRIPERUMBUDUR,ஸ்ரீபெரும்புதூர்,2,Balnallur,பால்நல்லூர்
177,1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,SRIPERUMBUDUR,ஸ்ரீபெரும்புதூர்,3,Chellampattidai,செல்லம்பட்டிடை
178,1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,SRIPERUMBUDUR,ஸ்ரீபெரும்புதூர்,4,Echoor,எச்சூர்
179,1,KANCHEEPURAM,"காஞ்சிபுரம்
",4,SRIPERUMBUDUR,ஸ்ரீபெரும்புதூர்,5,Edayarpakkam,எடையார்பாக்கம் 
